Date : 2025-03-03 20:25:06
Directory : c:\programmering\visualstudiocodeFiles\CASproject\UnitTests
Total : 123 files,  -777 codes, -421 comments, -514 blanks, all -1712 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateCommandsStartup.cs                       | C#         |       -243 |         -2 |         -5 |       -250 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateFormalFunctions.cs                       | C#         |       -122 |        -12 |        -13 |       -147 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreatePredefinedStartup.cs                     | C#         |        -14 |          0 |         -1 |        -15 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateSettingsStartup.cs                       | C#         |        -80 |          0 |         -3 |        -83 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Explain.cs                                           | C#         |        -56 |         -3 |        -10 |        -69 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Help.cs                                              | C#         |        -15 |          0 |         -3 |        -18 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Hide.cs                                              | C#         |        -15 |          0 |         -3 |        -18 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\ListObjects.cs                                       | C#         |        -70 |         -3 |        -12 |        -85 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Show.cs                                              | C#         |        -15 |          0 |         -3 |        -18 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Write.cs                                             | C#         |        -41 |         -8 |        -11 |        -60 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\ExecuteAll.cs                                       | C#         |        -11 |          0 |         -3 |        -14 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\ExitCommand.cs                                      | C#         |        -11 |          0 |         -2 |        -13 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\GetTime.cs                                          | C#         |        -31 |          0 |         -3 |        -34 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\RepeatExecute.cs                                    | C#         |        -15 |          0 |         -3 |        -18 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\DefineFunction.cs                                   | C#         |        -20 |          0 |         -3 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\DefineVariable.cs                                   | C#         |        -20 |          0 |         -3 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\RemoveObject.cs                                     | C#         |        -14 |          0 |         -3 |        -17 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\SetSetting.cs                                       | C#         |        -15 |          0 |         -3 |        -18 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\Command.cs                                      | C#         |        -46 |        -10 |        -10 |        -66 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\InformalCommand.cs                              | C#         |        -10 |         -3 |         -2 |        -15 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Main.cs                                                            | C#         |        -32 |         -3 |         -4 |        -39 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Add.cs                                        | C#         |        -85 |        -15 |        -19 |       -119 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Divide.cs                                     | C#         |        -76 |        -16 |        -17 |       -109 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Multiply.cs                                   | C#         |       -100 |        -16 |        -20 |       -136 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Power.cs                                      | C#         |        -77 |        -15 |        -19 |       -111 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Functions.cs                              | C#         |        -13 |          0 |         -2 |        -15 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Operators.cs                              | C#         |        -28 |          0 |         -6 |        -34 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Trigonometric.cs                          | C#         |        -33 |          0 |         -6 |        -39 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.cs                                        | C#         |        -32 |        -32 |        -11 |        -75 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Product.cs                         | C#         |        -40 |         -3 |         -7 |        -50 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Recurse.cs                         | C#         |        -54 |         -4 |        -10 |        -68 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Sum.cs                             | C#         |        -40 |         -3 |         -8 |        -51 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Other\Ln.cs                                  | C#         |        -17 |         -4 |         -8 |        -29 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Acos.cs                        | C#         |        -22 |         -2 |         -5 |        -29 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Asin.cs                        | C#         |        -20 |         -2 |         -5 |        -27 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Atan.cs                        | C#         |        -16 |         -2 |         -5 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Cos.cs                         | C#         |        -16 |         -2 |         -5 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Sin.cs                         | C#         |        -16 |         -2 |         -5 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Tan.cs                         | C#         |        -16 |         -2 |         -5 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Constant.cs                                             | C#         |        -66 |        -10 |        -18 |        -94 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Function.cs                                             | C#         |        -44 |         -7 |        -10 |        -61 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\FunctionDefinition.cs                                   | C#         |        -16 |         -3 |         -2 |        -21 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Variable.cs                                             | C#         |        -27 |         -5 |         -8 |        -40 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\FormalFunction.cs                                   | C#         |        -20 |         -6 |         -2 |        -28 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\FunctionWrapper.cs                                  | C#         |        -19 |         -3 |         -3 |        -25 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathCommand.cs                                      | C#         |        -11 |         -3 |         -1 |        -15 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathFunction.cs                                     | C#         |        -15 |         -3 |         -1 |        -19 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathObject.cs                                       | C#         |       -108 |        -69 |        -27 |       -204 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathWrapper.cs                                      | C#         |        -60 |         -3 |         -3 |        -66 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\Operator.cs                                         | C#         |        -57 |        -19 |         -9 |        -85 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Other\ConsoleStyling.cs                                            | C#         |        -46 |        -32 |        -15 |        -93 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Other\StringTree.cs                                                | C#         |        -52 |         -3 |         -5 |        -60 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\Define.cs                                                      | C#         |         41 |          0 |          6 |         47 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\Settings.cs                                                    | C#         |         41 |          0 |          6 |         47 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\SingleInput.cs                                                 | C#         |         32 |          0 |          5 |         37 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Development.cs                                                          | C#         |         15 |          0 |          2 |         17 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Comparison.cs                                                      | C#         |         13 |          4 |          3 |         20 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Derivative.cs                                                      | C#         |         38 |          0 |         10 |         48 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Hierarchy.cs                                                       | C#         |         44 |          0 |          7 |         51 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\IterativeMath.cs                                                   | C#         |         46 |          0 |          6 |         52 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Simplification.cs                                                  | C#         |         67 |          0 |         10 |         77 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\UnitTests.cs                                                            | C#         |          7 |          0 |          1 |          8 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\UnitTests.csproj                                                        | XML        |         22 |          0 |          7 |         29 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\CASproject.deps.json                                   | JSON       |         59 |          0 |          0 |         59 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\CASproject.runtimeconfig.json                          | JSON       |         12 |          0 |          0 |         12 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\UnitTests.deps.json                                    | JSON       |        469 |          0 |          0 |        469 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\UnitTests.runtimeconfig.json                           | JSON       |         12 |          0 |          0 |         12 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs         | C#         |          3 |          1 |          1 |          5 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.AssemblyInfo.cs                           | C#         |          9 |         10 |          5 |         24 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.GeneratedMSBuildEditorConfig.editorconfig | Properties |         13 |          0 |          1 |         14 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.GlobalUsings.g.cs                         | C#         |          8 |          1 |          1 |         10 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.AssemblyInfo.cs                              | C#         |          9 |          9 |          5 |         23 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.GeneratedMSBuildEditorConfig.editorconfig    | Properties |         13 |          0 |          1 |         14 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.GlobalUsings.g.cs                            | C#         |          8 |          1 |          1 |         10 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.sourcelink.json                              | JSON       |          1 |          0 |          0 |          1 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.dgspec.json                               | JSON       |         95 |          0 |          0 |         95 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.g.props                                   | XML        |         26 |          0 |          0 |         26 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.g.targets                                 | XML        |          9 |          0 |          0 |          9 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.dgspec.json                                  | JSON       |        172 |          0 |          0 |        172 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.g.props                                      | XML        |         26 |          0 |          0 |         26 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.g.targets                                    | XML        |          9 |          0 |          0 |          9 |
| c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\project.assets.json                                                 | JSON       |      1,148 |          0 |          0 |      1,148 |
| Total                                                                                                                               |            |       -777 |       -421 |       -514 |     -1,712 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
